iter	Passed	Remaining
0	56	56450
1	58	29254
2	60	20145
3	62	15585
4	64	12879
5	68	11285
6	69	9913
7	71	8880
8	73	8063
9	74	7417
10	76	6887
11	78	6458
12	80	6085
13	82	5790
14	83	5507
15	85	5256
16	87	5037
17	88	4844
18	90	4675
19	92	4535
20	94	4399
21	96	4274
22	98	4165
23	100	4067
24	101	3972
25	103	3881
26	105	3794
27	107	3716
28	108	3641
29	110	3576
30	112	3507
31	113	3446
32	115	3384
33	117	3332
34	118	3279
35	122	3276
36	124	3237
37	126	3196
38	128	3160
39	130	3126
40	132	3089
41	133	3049
42	135	3013
43	137	2979
44	138	2948
45	140	2915
46	142	2885
47	143	2848
48	144	2808
49	145	2770
50	146	2733
51	147	2696
52	148	2661
53	150	2628
54	151	2597
55	152	2567
56	153	2533
57	153	2500
58	154	2468
59	155	2438
60	156	2409
61	157	2380
62	158	2352
63	159	2325
64	159	2298
65	160	2269
66	161	2242
67	161	2211
68	162	2185
69	168	2232
70	168	2206
71	169	2184
72	170	2160
73	171	2139
74	171	2119
75	172	2099
76	173	2079
77	174	2060
78	174	2040
79	175	2019
80	176	1999
81	176	1978
82	177	1958
83	177	1939
84	178	1918
85	178	1900
86	179	1879
87	179	1861
88	180	1844
89	180	1827
90	181	1810
91	181	1793
92	182	1779
93	183	1764
94	183	1748
95	184	1733
96	184	1717
97	184	1702
98	185	1690
99	186	1676
100	187	1668
101	187	1653
102	188	1643
103	189	1629
104	189	1616
105	190	1607
106	192	1605
107	192	1592
108	193	1579
109	193	1566
110	194	1554
111	194	1541
112	194	1529
113	195	1517
114	195	1506
115	196	1493
116	196	1482
117	197	1472
118	197	1461
119	197	1450
120	198	1440
121	198	1429
122	198	1417
123	199	1407
124	199	1397
125	200	1387
126	200	1378
127	200	1367
128	201	1358
129	201	1350
130	202	1341
131	202	1332
132	203	1323
133	203	1314
134	203	1306
135	204	1297
136	204	1289
137	205	1280
138	205	1272
139	205	1264
140	206	1256
141	206	1249
142	207	1241
143	207	1233
144	207	1226
145	208	1219
146	208	1211
147	209	1204
148	209	1197
149	210	1190
150	210	1183
151	210	1176
152	211	1169
153	211	1164
154	212	1157
155	212	1150
156	213	1144
157	213	1138
158	213	1131
159	214	1125
160	214	1119
161	215	1113
162	215	1107
163	216	1101
164	216	1096
165	217	1090
166	217	1086
167	218	1082
168	218	1076
169	219	1071
170	220	1068
171	221	1064
172	221	1059
173	221	1053
174	222	1048
175	225	1053
176	225	1048
177	226	1043
178	226	1039
179	227	1034
180	227	1028
181	227	1024
182	228	1019
183	228	1014
184	229	1009
185	229	1004
186	230	1000
187	230	995
188	231	991
189	232	990
190	232	986
191	233	981
192	233	977
193	234	972
194	234	968
195	235	964
196	235	960
197	235	955
198	236	951
199	236	947
200	237	943
201	237	938
202	238	934
203	238	930
204	238	926
205	239	922
206	239	918
207	240	914
208	240	910
209	240	906
210	241	903
211	241	899
212	242	895
213	242	891
214	243	887
215	243	884
216	244	880
217	244	876
218	244	873
219	245	869
220	245	865
221	246	862
222	246	859
223	247	856
224	247	852
225	247	849
226	248	845
227	248	842
228	249	838
229	249	835
230	249	832
231	250	828
232	250	825
233	251	822
234	251	819
235	252	816
236	252	812
237	252	809
238	253	806
239	253	803
240	254	800
241	254	797
242	254	793
243	255	790
244	255	787
245	256	785
246	256	782
247	257	779
248	257	776
249	257	773
250	258	770
251	258	767
252	258	764
253	259	761
254	259	759
255	260	756
256	260	753
257	261	750
258	261	748
259	261	745
260	262	742
261	262	740
262	263	737
263	263	734
264	263	732
265	264	729
266	264	726
267	265	724
268	265	721
269	265	719
270	266	716
271	266	713
272	267	711
273	267	708
274	267	706
275	268	704
276	268	701
277	269	699
278	269	696
279	270	694
280	270	692
281	270	689
282	271	687
283	271	685
284	272	683
285	272	680
286	273	678
287	273	676
288	273	673
289	274	671
290	274	669
291	275	667
292	275	664
293	275	662
294	276	660
295	276	658
296	277	655
297	277	653
298	277	651
299	278	649
300	278	647
301	279	645
302	279	643
303	279	640
304	280	638
305	280	636
306	281	634
307	281	632
308	281	630
309	282	628
310	282	626
311	283	624
312	283	622
313	283	620
314	284	618
315	284	616
316	285	614
317	285	612
318	286	610
319	286	609
320	286	607
321	287	605
322	287	603
323	288	601
324	288	599
325	289	597
326	289	595
327	289	593
328	290	592
329	290	590
330	291	588
331	291	586
332	291	584
333	292	582
334	292	581
335	293	579
336	293	577
337	293	575
338	294	573
339	294	572
340	295	570
341	295	568
342	296	567
343	296	565
344	296	563
345	297	561
346	297	560
347	298	558
348	298	556
349	298	555
350	299	553
351	299	551
352	300	550
353	300	548
354	301	547
355	301	545
356	301	543
357	302	542
358	302	540
359	303	539
360	303	537
361	304	535
362	304	534
363	304	532
364	305	531
365	305	529
366	306	528
367	306	526
368	307	524
369	307	523
370	307	521
371	308	520
372	308	518
373	309	517
374	309	515
375	309	514
376	310	512
377	310	511
378	311	509
379	311	508
380	311	506
381	312	505
382	312	503
383	313	502
384	313	500
