iter	Passed	Remaining
0	3	3787
1	8	4448
2	13	4402
3	16	4171
4	20	4064
5	23	3945
6	25	3653
7	28	3571
8	30	3381
9	32	3229
10	35	3179
11	36	3044
12	38	2922
13	39	2804
14	42	2786
15	44	2720
16	45	2657
17	47	2568
18	49	2558
19	50	2488
20	51	2410
21	52	2350
22	53	2274
23	54	2209
24	55	2151
25	56	2110
26	56	2051
27	57	1998
28	58	1956
29	60	1952
30	61	1922
31	62	1887
32	63	1854
33	64	1822
34	64	1791
35	65	1753
36	66	1720
37	67	1697
38	67	1662
39	67	1628
40	68	1595
41	68	1563
42	68	1534
43	69	1507
44	69	1482
45	70	1460
46	70	1437
47	71	1417
48	72	1414
49	74	1413
50	75	1397
51	75	1379
52	76	1360
53	77	1359
54	78	1341
55	78	1323
56	78	1306
57	79	1289
58	79	1273
59	80	1257
60	80	1243
61	81	1228
62	81	1214
63	82	1201
64	82	1187
65	83	1175
66	83	1162
67	83	1150
68	84	1138
69	84	1128
70	85	1121
71	86	1113
72	87	1111
73	88	1112
74	89	1102
75	89	1092
76	91	1093
77	91	1085
78	92	1076
79	92	1067
80	93	1058
81	93	1049
82	93	1037
83	94	1029
84	94	1020
85	95	1013
86	95	1004
87	96	997
88	96	990
89	97	982
90	97	975
91	98	967
92	98	962
93	99	955
94	99	949
95	100	942
96	100	937
97	101	932
98	102	932
99	105	946
100	105	943
101	106	938
102	107	932
103	107	927
104	108	922
105	108	915
106	108	909
107	109	902
108	109	896
109	109	889
110	110	884
111	110	878
112	111	872
113	111	866
114	111	861
115	112	855
116	112	849
117	113	846
118	113	842
119	114	836
120	114	831
121	114	825
122	115	820
123	115	816
124	116	812
125	116	808
126	117	810
127	118	808
128	119	806
129	119	803
130	120	799
131	121	796
132	121	792
133	122	789
134	122	785
135	123	782
136	123	778
137	123	774
138	124	770
139	124	767
140	125	764
141	125	759
142	126	756
143	126	752
144	127	749
145	127	746
146	128	743
147	128	740
148	129	737
149	129	733
150	129	730
151	130	727
152	130	724
153	131	723
154	132	723
155	133	720
156	133	718
157	134	715
158	134	712
159	135	710
160	135	706
161	136	704
162	136	701
163	137	699
164	137	696
165	138	694
166	138	691
167	139	688
168	139	685
169	140	683
170	140	681
171	141	679
172	141	676
173	141	674
174	142	671
175	142	668
176	143	666
177	143	663
178	144	661
179	144	659
180	145	656
181	145	654
182	146	655
183	147	654
184	148	652
185	148	649
186	148	647
187	149	645
188	149	643
189	150	641
190	150	639
191	151	637
192	152	635
193	152	633
194	152	631
195	153	629
196	153	626
197	154	624
198	154	622
199	155	620
200	155	618
201	156	616
202	156	614
203	156	612
204	157	610
205	157	608
206	158	606
207	158	604
208	159	602
209	159	600
210	160	598
211	161	600
212	164	606
213	164	604
214	165	603
215	165	602
216	166	599
217	166	598
218	167	595
219	167	593
220	167	591
221	168	589
222	168	588
223	169	586
224	169	584
225	170	582
226	170	580
227	171	579
228	171	577
229	171	575
230	172	573
231	172	571
232	172	569
233	173	567
234	173	565
235	174	563
236	174	562
237	175	560
238	177	565
239	177	563
240	178	561
241	178	560
242	179	558
243	179	556
244	180	555
245	180	553
246	181	552
247	181	550
248	182	549
249	182	547
250	182	545
251	183	544
252	183	542
253	184	541
254	184	539
255	185	538
256	185	536
257	186	534
258	186	533
259	186	531
260	187	530
261	187	528
262	188	527
263	188	525
264	188	524
265	189	522
266	189	521
267	190	519
268	191	519
269	191	519
270	192	517
271	192	516
272	193	514
273	193	513
274	194	511
275	195	511
276	195	510
277	196	509
278	196	508
279	197	507
280	197	505
281	198	505
282	198	503
283	199	502
284	199	500
285	200	499
286	200	498
287	201	497
288	201	495
289	201	494
290	202	493
291	202	491
292	203	490
293	203	488
294	204	487
295	204	486
296	205	485
297	206	485
298	206	484
299	207	483
300	207	482
301	208	481
302	208	480
303	209	479
304	209	478
305	210	476
306	210	475
307	211	474
308	211	473
309	212	471
310	212	470
311	212	469
312	213	468
313	213	466
314	214	465
315	214	464
316	215	463
317	215	462
318	216	461
319	216	459
320	216	458
321	217	457
322	217	456
323	218	455
324	218	453
325	219	454
326	220	453
327	221	454
328	222	453
329	223	453
330	224	453
331	224	452
332	225	451
333	225	450
334	226	449
335	227	448
336	227	447
337	228	446
338	228	445
339	228	444
340	229	443
341	229	442
342	230	441
343	230	439
344	231	438
345	231	437
346	232	436
347	232	435
348	232	434
349	233	433
350	233	432
351	234	431
352	234	430
353	241	440
354	241	439
355	242	438
356	242	436
357	243	435
358	243	434
359	243	433
360	244	432
361	244	431
362	245	430
363	245	429
364	246	428
365	246	426
366	246	425
367	247	424
368	247	423
369	248	422
370	248	421
371	249	420
372	250	420
373	251	420
374	251	419
375	252	419
376	252	417
377	253	416
378	253	415
379	254	414
380	254	413
381	255	412
382	255	411
383	255	410
384	256	409
385	256	408
386	257	407
387	257	406
388	258	405
389	258	404
390	258	403
391	259	402
392	259	401
393	260	400
394	260	399
395	261	398
396	261	397
397	262	396
398	267	402
399	267	401
400	268	400
401	268	399
402	269	398
403	269	397
404	269	396
405	270	395
406	270	394
407	271	393
408	271	392
409	272	391
410	272	390
411	272	389
412	273	388
413	273	387
414	274	386
415	274	385
416	275	384
417	275	383
418	275	382
419	276	381
420	276	380
421	277	379
422	278	379
423	279	379
